1.000000e-09 5.450044e+04
2.636651e-09 2.067120e+04
6.951928e-09 7.840821e+03
1.832981e-08 2.974654e+03
4.832930e-08 1.129068e+03
1.274275e-07 4.290940e+02
3.359818e-07 1.636145e+02
8.858668e-07 6.292382e+01
2.335721e-06 2.472854e+01
6.158482e-06 1.022733e+01
1.623777e-05 4.698127e+00
4.281332e-05 2.558671e+00
1.128838e-04 1.708355e+00
2.976351e-04 1.364433e+00
7.847600e-04 1.223453e+00
2.069138e-03 1.153385e+00
5.455595e-03 1.108582e+00
1.438450e-02 1.091643e+00
3.792690e-02 1.087176e+00
1.000000e-01 1.085891e+00
